기업명,내용,고용형태,경력,주소1,주소2,기간,직무키워드
㈜가온파트너스,                                2021년 컨설턴트 채용(신입/경력)                            ,신입·경력,대졸↑,경기,경기 성남시,~12/29(수),"컨설팅, 6시그마, 생산관리, 안전, 원가관리, 품질관리, 경영기획, 경영분석, 경영컨설팅, 컨설턴트"
대한체육회,                                개방형 직위(선수촌 부촌장) 채용,경력,대졸↑,충북 외,충북 진천군 외,~01/04(화),"국가대표, 공공기관, 공기업, 경영기획, 조직관리, 스포츠"
㈜코텍,                                (주)코텍 생산기술(공정기술/제품기술) 신입사원 채용,신입,대졸↑,인천,인천 연수구,~03/22(화),"디스플레이, 공정, 공정관리, 생산, 생산관리"
㈜미니게이트,                                [미니게이트] 경영관리본부 재무/법무/사업전략 담당 채용,경력7년↑,고졸↑,서울,서울 송파구,~03/22(화),"조직관리, 법무, 재무회계"
㈜동양이엠에스,                                [차고지 정자동] 대기업 수행기사 채용모집(22년 임금인상 예정)                            ,경력3년↑,초대졸↑,경기,경기 성남시 외,~12/31(금),"아웃소싱, 수행기사, 승용기사, 운전기사"
현대글로벌서비스,                                [현대글로벌기술서비스] 2022년도 사무지원 기간제 채용 (인사/총무)                            ,신입·경력,초대졸↑,부산,부산 해운대구,~01/02(일),"견적, 매출, 매입, 업무지원, 행정지원, 사무행정, 총무, 인사"
현대글로벌서비스,                                [현대글로벌기술서비스] 2022년도 사무지원 기간제 채용 (원가/회계)                            ,신입·경력,초대졸↑,부산,부산 해운대구,~01/02(일),"견적, 매출, 매입, 업무지원, 행정지원, 사무행정, 총무, 인사"
현대글로벌서비스,"                                [현대글로벌기술서비스] 2022년도 사무지원 기간제 채용 (매출/매입 지원, 견적 문의 입력)                            ",신입·경력,초대졸↑,부산,부산 해운대구,~01/02(일),"견적, 매출, 매입, 업무지원, 행정지원, 사무행정, 총무, 인사"
현대글로벌서비스,                                [현대글로벌기술서비스] 2022년도 사무지원 기간제 채용,신입·경력,학력무관,부산,부산 해운대구,~01/02(일),"견적, 매출, 매입, 업무지원, 행정지원, 사무행정, 총무, 인사"
㈜미니게이트,                                [미니게이트] 유니티 게임개발자 채용,신입·경력,고졸↑,서울,서울 송파구,~03/22(화),"메타버스, 게임개발"
SK쉴더스㈜,                                인천지사 시설보안직(BP3) 채용,신입,초대졸↑,인천,인천 미추홀구,~12/31(금),"출동대원, 캡스, ADT캡스, adt, 보안, 경비, 기계관리, 보안, 순찰, 안전, 경호, 보안, 보안검색, 현금호송"
㈜미니게이트,                                [미니게이트] 서비스 기획자 채용,경력,대졸↑,서울,서울 송파구,~03/22(화),"웹/앱 서비스 기획, UI설계"
㈜유영제약,                                [제약영업] 경남지역 전문의약품 의원영업 담당 신입 / 경력직 채용,신입·경력,대졸↑,경남,경남 창원시,~01/16(일),"바이오, 의약, 제약, 국내영업, 제약영업"
㈜피죤,                                (주)피죤 이커머스/중앙연구소 채용모집                            ,경력무관,학력무관,서울 외,서울 강남구 외,~01/02(일),"국내영업, 일반영업, 화장품영업, 연구원, 제품개발, 화장품, 화학"
엔에이치엔한국사이버결제㈜,                                NHN KCP㈜ 전자결제(PG) 서비스 기획 경력자 채용,경력3년↑,초대졸↑,서울,서울 구로구,~01/21(금),"쇼핑몰, 오픈마켓, 전자상거래, 가맹점관리, 영업관리, 영업기획, 기술영업, 일반영업"
(재)한국사회투자,                                [한국사회투자] 기업파트너십팀 인턴 채용 (2022/1/9까지)                            ,경력무관,학력무관,서울,서울 은평구,~01/09(일),"교육, 환경, 문화, 사회공헌, 지역사회, CSR, 재단법인, 경영기획, 기획조사, 사업기획"
㈜아워홈,                                (주)아워홈 IT부문 시스템운영 신입사원 채용,신입,대졸↑,서울 외,서울 강서구 외,~01/16(일),"프랜차이즈, SCM, Java, MS-SQL, Oracle"
